"no	grade	word	japanese	description	sentence	japanese_sentence	pos	difficulty	frequency	""[""""年"""",""""月"""",""""週"""",""""日"""",""""時間""""]""	""[""""year"""",""""month"""",""""week"""",""""day"""",""""hour""""]""	""[""""year"""",""""ear"""",""""near"""",""""dear"""",""""yard""""]""	[]	[]"
500572	5	petition	請願書	a written request signed by many people	They started a petition to save the park.	彼らはその公園を守るために請願書を始めた。	noun	5	2	""[""""請願書"""",""""広告"""",""""報告"""",""""提案"""",""""招待状""""]""	""[""""petition"""",""""advertisement"""",""""report"""",""""proposal"""",""""invitation""""]""	""[""""petition"""",""""position"""",""""vacation"""",""""condition"""",""""addition""""]""	""[{""""word"""":""""request"""",""""note"""":""""より一般的な語""""}]""	[]"
500573	5	examination	試験	a formal test of knowledge or ability	I have an examination tomorrow.	私は明日試験があります。	noun	4	3	""[""""試験"""",""""面接"""",""""宿題"""",""""練習"""",""""会議""""]""	""[""""examination"""",""""interview"""",""""homework"""",""""practice"""",""""meeting""""]""	""[""""examination"""",""""explanation"""",""""invitation"""",""""education"""",""""information""""]""	""[{""""word"""":""""test"""",""""note"""":""""より一般的で短い語""""},{""""word"""":""""exam"""",""""note"""":""""examination の短い形""""}]""	[]"
500574	5	widespread	広まった	existing or happening in many places	The news became widespread online.	そのニュースはオンラインで広まった。	adjective	5	3	""[""""広まった"""",""""限られた"""",""""人気の"""",""""危険な"""",""""静かな""""]""	""[""""widespread"""",""""limited"""",""""popular"""",""""dangerous"""",""""quiet""""]""	""[""""widespread"""",""""wide"""",""""white"""",""""wild"""",""""wise""""]""	""[{""""word"""":""""common"""",""""note"""":""""より基本的な語""""},{""""word"""":""""popular"""",""""note"""":""""人や物に広く知られる時に近い""""}]""	""[{""""word"""":""""limited"""",""""note"""":""""広がりが小さい""""}]"""
500575	5	democratic	民主的な	based on the idea that people choose their leaders	They want a more democratic system.	彼らはより民主的な制度を望んでいます。	adjective	5	2	""[""""民主的な"""",""""経済的な"""",""""歴史的な"""",""""科学的な"""",""""文化的な""""]""	""[""""democratic"""",""""economic"""",""""historical"""",""""scientific"""",""""cultural""""]""	""[""""democratic"""",""""dramatic"""",""""domestic"""",""""dynamic"""",""""automatic""""]""	[]	""[{""""word"""":""""dictatorial"""",""""note"""":""""独裁的な""""}]"""
500576	5	exempt	免除された	not required to do something	Students under twelve are exempt from the fee.	12歳未満の生徒は料金を免除されます。	adjective	5	2	""[""""免除された"""",""""禁止された"""",""""驚いた"""",""""必要な"""",""""混雑した""""]""	""[""""exempt"""",""""forbidden"""",""""surprised"""",""""necessary"""",""""crowded""""]""	""[""""exempt"""",""""except"""",""""expect"""",""""event"""",""""effect""""]""	""[{""""word"""":""""free"""",""""note"""":""""この意味では obligation から自由""""}]""	""[{""""word"""":""""required"""",""""note"""":""""する必要がある""""}]"""
500577	5	be independent of	〜に頼らない	to not need help or support from something	The country wants to be independent of foreign oil.	その国は外国の石油に頼らないようにしたいと思っています。	verb	5	2	""[""""〜に頼らない"""",""""〜を信じる"""",""""〜に参加する"""",""""〜を避ける"""",""""〜を調べる""""]""	""[""""be independent of"""",""""believe in"""",""""take part in"""",""""stay away from"""",""""look into""""]""	""[""""be independent of"""",""""be interested in"""",""""be proud of"""",""""be aware of"""",""""be tired of""""]""	[]	""[{""""word"""":""""depend on"""",""""note"""":""""〜に頼る""""}]"""
500578	5	capitalism	資本主義	an economic system based on private business and trade	They studied capitalism in social studies class.	彼らは社会の授業で資本主義を学びました。	noun	5	2	""[""""資本主義"""",""""民主主義"""",""""共産主義"""",""""産業"""",""""経済""""]""	""[""""capitalism"""",""""democracy"""",""""communism"""",""""industry"""",""""economy""""]""	""[""""capitalism"""",""""capital"""",""""catapult"""",""""catalog"""",""""capable""""]""	[]	""[{""""word"""":""""communism"""",""""note"""":""""共産主義""""}]"""
500579	5	bail	保釈金	money paid to let someone leave jail until trial	His family paid bail for him.	彼の家族は彼のために保釈金を払った。	noun	5	2	""[""""保釈金"""",""""罰金"""",""""借金"""",""""運賃"""",""""寄付金""""]""	""[""""bail"""",""""fine"""",""""debt"""",""""fare"""",""""donation""""]""	""[""""bail"""",""""mail"""",""""rail"""",""""bell"""",""""ball""""]""	[]	[]"
500580	5	at large	逃走中で	free and not caught	The dangerous dog is still at large.	その危険な犬はまだ逃走中だ。	adjective	5	2	""[""""逃走中で"""",""""安全で"""",""""静かで"""",""""有名で"""",""""空腹で""""]""	""[""""at large"""",""""safe"""",""""quiet"""",""""famous"""",""""hungry""""]""	""[""""at large"""",""""at last"""",""""alarm"""",""""alive"""",""""apart""""]""	[]	""[{""""word"""":""""caught"""",""""note"""":""""捕まった状態""""}]"""
500581	5	independence	独立	freedom to control your own life or country	The country won its independence many years ago.	その国は何年も前に独立を勝ち取った。	noun	5	3	""[""""独立"""",""""平和"""",""""自由"""",""""発展"""",""""責任""""]""	""[""""independence"""",""""peace"""",""""freedom"""",""""development"""",""""responsibility""""]""	""[""""independence"""",""""importance"""",""""difference"""",""""influence"""",""""evidence""""]""	""[{""""word"""":""""freedom"""",""""note"""":""""より広い意味での自由""""}]""	""[{""""word"""":""""dependence"""",""""note"""":""""頼っている状態""""}]"""
500582	5	right	正しい	correct or true	Your answer is right.	あなたの答えは正しいです。	adjective	5	5	""[""""正しい"""",""""危険な"""",""""簡単な"""",""""有名な"""",""""必要な""""]""	""[""""right"""",""""wrong"""",""""easy"""",""""famous"""",""""necessary""""]""	""[""""right"""",""""light"""",""""night"""",""""write"""",""""ride""""]""	""[{""""word"""":""""correct"""",""""note"""":""""よりはっきり「正しい」""""}]""	""[{""""word"""":""""wrong"""",""""note"""":""""「間違った」""""}]"""
500583	5	sociable	社交的な	friendly and liking to talk with people	She is very sociable at school.	彼女は学校でとても社交的です。	adjective	6	3	""[""""社交的な"""",""""静かな"""",""""親切な"""",""""正直な"""",""""活発な""""]""	""[""""sociable"""",""""quiet"""",""""kind"""",""""honest"""",""""active""""]""	""[""""sociable"""",""""social"""",""""sudden"""",""""special"""",""""suitable""""]""	""[{""""word"""":""""friendly"""",""""note"""":""""より広い意味で「親しみやすい」""""}]""	""[{""""word"""":""""shy"""",""""note"""":""""人前で話すのが苦手""""}]"""
500584	5	British	イギリスの	from the United Kingdom	He likes British music.	彼はイギリスの音楽が好きです。	adjective	5	4	""[""""イギリスの"""",""""フランスの"""",""""中国の"""",""""日本の"""",""""韓国の""""]""	""[""""British"""",""""French"""",""""Chinese"""",""""Japanese"""",""""Korean""""]""	""[""""British"""",""""brisk"""",""""bridge"""",""""bright"""",""""breadish""""]""	[]	[]"
500585	5	be native to	〜原産である	to come from a place naturally	These flowers are native to Japan.	これらの花は日本原産です。	verb	6	2	""[""""〜原産である"""",""""〜に住んでいる"""",""""〜へ旅行する"""",""""〜で育てる"""",""""〜から運ぶ""""]""	""[""""be native to"""",""""live in"""",""""travel to"""",""""grow in"""",""""bring from""""]""	""[""""be native to"""",""""be close to"""",""""be useful to"""",""""be kind to"""",""""be new to""""]""	[]	[]"
500586	5	Dutch	オランダの	from the Netherlands	He is learning Dutch history.	彼はオランダの歴史を学んでいます。	adjective	5	2	""[""""オランダの"""",""""ドイツの"""",""""スペインの"""",""""ロシアの"""",""""韓国の""""]""	""[""""Dutch"""",""""German"""",""""Spanish"""",""""Russian"""",""""Korean""""]""	""[""""Dutch"""",""""touch"""",""""much"""",""""duck"""",""""dust""""]""	[]	[]"
500587	5	western	西の	from the west part of a place	They traveled across western Japan.	彼らは日本の西部を旅しました。	adjective	5	3	""[""""西の"""",""""東の"""",""""南の"""",""""北の"""",""""中央の""""]""	""[""""western"""",""""eastern"""",""""southern"""",""""northern"""",""""central""""]""	""[""""western"""",""""question"""",""""visitor"""",""""winter"""",""""whistle""""]""	""[{""""word"""":""""west"""",""""note"""":""""方向を表す基本語""""}]""	""[{""""word"""":""""eastern"""",""""note"""":""""東の""""}]"""
500588	5	petrol	ガソリン	fuel used for cars	We need more petrol for the trip.	私たちは旅行のためにもっとガソリンが必要です。	noun	5	2	""[""""ガソリン"""",""""石油"""",""""灯油"""",""""軽油"""",""""燃料""""]""	""[""""petrol"""",""""oil"""",""""kerosene"""",""""diesel"""",""""fuel""""]""	""[""""petrol"""",""""pedal"""",""""metal"""",""""pencil"""",""""parcel""""]""	""[{""""word"""":""""gas"""",""""note"""":""""主に米語""""}]""	[]"
500589	5	be crowded with	〜で混んでいる	to be full of many people or things	The station was crowded with people.	その駅は人で混んでいました。	verb	5	3	""[""""〜で混んでいる"""",""""〜で満たされている"""",""""〜に富んでいる"""",""""〜に驚く"""",""""〜に興味がある""""]""	""[""""be crowded with"""",""""be filled with"""",""""be rich in"""",""""be surprised at"""",""""be interested in""""]""	""[""""be crowded with"""",""""be covered with"""",""""be connected with"""",""""be careful with"""",""""be compared with""""]""	""[{""""word"""":""""be packed with"""",""""note"""":""""より口語的で、ぎっしりの感じ""""}]""	[]"
500590	5	be filled with	〜で満たされている	to have a lot of something inside	The room was filled with smoke.	その部屋は煙で満たされていました。	verb	5	3	""[""""〜で満たされている"""",""""〜で混んでいる"""",""""〜に富んでいる"""",""""〜を探している"""",""""〜に遅れる""""]""	""[""""be filled with"""",""""be crowded with"""",""""be rich in"""",""""look for"""",""""be late for""""]""	""[""""be filled with"""",""""be fixed with"""",""""be faced with"""",""""be friends with"""",""""be pleased with""""]""	""[{""""word"""":""""be full of"""",""""note"""":""""より基本的な表現""""}]""	""[{""""word"""":""""be empty of"""",""""note"""":""""中にほとんどない""""}]"""
500591	5	be rich in	〜に富んでいる	to have a lot of something good or useful	This food is rich in vitamins.	この食べ物はビタミンに富んでいます。	verb	5	3	""[""""〜に富んでいる"""",""""〜で満たされている"""",""""〜で混んでいる"""",""""〜を必要とする"""",""""〜を待つ""""]""	""[""""be rich in"""",""""be filled with"""",""""be crowded with"""",""""need"""",""""wait for""""]""	""[""""be rich in"""",""""be written in"""",""""be risen in"""",""""be reading"""",""""be reaching""""]""	""[{""""word"""":""""contain a lot of"""",""""note"""":""""意味をやさしく言い換えた表現""""}]""	""[{""""word"""":""""be poor in"""",""""note"""":""""〜が乏しい""""}]"""
500592	5	humorous	おかしい	funny and making people laugh	His story was humorous and easy to enjoy.	彼の話はおかしくて楽しみやすかった。	adjective	5	3	""[""""おかしい"""",""""まじめな"""",""""退屈な"""",""""静かな"""",""""親切な""""]""	""[""""humorous"""",""""serious"""",""""boring"""",""""quiet"""",""""kind""""]""	""[""""humorous"""",""""numerous"""",""""famous"""",""""curious"""",""""dangerous""""]""	""[{""""word"""":""""funny"""",""""note"""":""""より日常的な語""""},{""""word"""":""""comical"""",""""note"""":""""やや書き言葉""""}]""	""[{""""word"""":""""serious"""",""""note"""":""""まじめな""""}]"""
500593	5	irony	皮肉	a situation or remark with an opposite meaning	She smiled at the irony of the situation.	彼女はその状況の皮肉さに微笑んだ。	noun	6	2	""[""""皮肉"""",""""冗談"""",""""真実"""",""""約束"""",""""習慣""""]""	""[""""irony"""",""""joke"""",""""truth"""",""""promise"""",""""custom""""]""	""[""""irony"""",""""ivory"""",""""island"""",""""idea"""",""""item""""]""	[]	[]"
500594	5	amusing	おもしろい	fun and interesting	The movie was amusing for everyone.	その映画はみんなにとっておもしろかった。	adjective	5	3	""[""""おもしろい"""",""""悲しい"""",""""危険な"""",""""有名な"""",""""厳しい""""]""	""[""""amusing"""",""""sad"""",""""dangerous"""",""""famous"""",""""strict""""]""	""[""""amusing"""",""""amazing"""",""""confusing"""",""""using"""",""""music""""]""	""[{""""word"""":""""entertaining"""",""""note"""":""""楽しませる感じ""""},{""""word"""":""""funny"""",""""note"""":""""笑える感じが強い""""}]""	""[{""""word"""":""""boring"""",""""note"""":""""退屈な""""}]"""
500595	5	prophecy	予言	a statement about what will happen in the future	The old prophecy came true.	その古い予言は実現した。	noun	5	2	""[""""予言"""",""""約束"""",""""計画"""",""""秘密"""",""""意見""""]""	""[""""prophecy"""",""""promise"""",""""plan"""",""""secret"""",""""opinion""""]""	""[""""prophecy"""",""""property"""",""""properly"""",""""progress"""",""""professor""""]""	""[{""""word"""":""""prediction"""",""""note"""":""""より一般的な「予測」""""}]""	[]"
